Ticker,EventDate,CloseAtEvent,Close_Day5,Close_Day10,Close_Day15,Close_Day20,R5(%),R10(%),R15(%),R20(%)
BEN,2020-11-02,15.64,16.3,16.98,16.97,17.85,4.24,8.58,8.52,14.14
BEN,2021-07-20,24.11,24.2,25.25,26.98,26.03,0.41,4.74,11.94,7.98
BEN,2022-09-19,21.23,19.59,19.44,18.81,19.26,-7.74,-8.44,-11.37,-9.29
BEN,2022-09-28,19.71,20.2,18.29,19.27,20.31,2.51,-7.21,-2.2,3.08
BEN,2022-10-03,19.44,18.81,19.26,19.77,20.31,-3.21,-0.94,1.69,4.5
BEN,2023-03-21,23.61,23.11,23.64,23.42,24.05,-2.12,0.13,-0.81,1.86
BEN,2023-05-17,21.68,21.34,21.64,23.18,24.2,-1.55,-0.16,6.91,11.61
BEN,2023-08-23,23.3,23.85,23.24,23.5,22.57,2.39,-0.23,0.88,-3.12
BEN,2023-09-28,22.2,21.69,20.77,20.54,20.65,-2.29,-6.46,-7.48,-6.99
BEN,2023-10-04,21.54,21.51,20.78,20.2,20.47,-0.13,-3.54,-6.19,-4.97
BEN,2023-10-16,20.83,20.19,20.43,21.63,20.42,-3.09,-1.92,3.83,-1.96
BEN,2023-10-24,20.48,20.68,21.37,21.73,21.49,1.02,4.39,6.12,4.96
BEN,2024-05-03,21.69,22.03,22.53,21.65,21.71,1.54,3.85,-0.21,0.09
BEN,2024-06-17,20.56,21.2,20.91,21.12,22.41,3.11,1.72,2.72,8.99
BEN,2024-12-20,19.57,19.51,19.15,19.04,19.39,-0.31,-2.14,-2.69,-0.91
BEN,2025-04-09,18.33,17.31,18.49,18.48,20.56,-5.54,0.91,0.86,12.16
AMD,2021-03-09,78.53,82.75,78.38,76.0,82.2,5.37,-0.19,-3.22,4.67
AMD,2022-01-31,114.25,123.67,114.27,115.65,113.83,8.25,0.02,1.23,-0.37
AMD,2022-10-03,66.11,57.81,57.96,58.7,60.06,-12.55,-12.33,-11.21,-9.15
AMD,2022-10-17,57.96,58.7,60.06,63.08,73.53,1.28,3.62,8.83,26.86
AMD,2024-04-22,148.64,160.2,155.78,150.56,166.33,7.78,4.8,1.29,11.9
AMD,2024-07-26,139.99,132.5,134.27,148.56,154.98,-5.35,-4.09,6.12,10.71
